,0,1,2,3,4,5,6,7
0,journey.entry ivr.entry ,0.223,ivr.proactive , 0.163,ivr.entry ivr.proactive , 0.163,agent, 0.062
1,journey.entry agent.entry ,0.149,agent.view , 0.101,agent.entry agent.view , 0.101,journey.entry web.entry, 0.053
2,webe... ,0.240,webevent.login webe... , 0.240,web.entry webevent.login , 0.240,journey.entry web.entry, 0.240
3,journey.entry mobile.entry ,0.216,mobile.entry mobileevent.login... , 0.216,mobileevent.login... , 0.216,mobile.entry mobile..., 0.034
4,journey.entry agent.entry ,0.111,journey.entry ivr.entry , 0.084,tsys... , 0.084,ivr.activation tsys..., 0.084
5,journey.entry declined ,0.198,declined web.entry , 0.170,webevent.l... , 0.087,web.entry webevent.l..., 0.087
6,journey.entry web.entry ,0.185,webevent.online , 0.125,web.entry webevent.online , 0.125,webevent.view, 0.065
7,declined ivr.entry ,0.080,journey.entry declined , 0.080,ivr.proact... , 0.080,ivr.entry ivr.proact..., 0.080
8,journey.entry web.entry ,0.112,w... , 0.058,mobileeve... , 0.058,mobile.entry mobileeve..., 0.058
9,journey.entry web.entry ,0.116,webstc.browse , 0.116,web.entry webstc.browse , 0.116,journey.entry reward, 0.078
