,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,agent.exit journey.exit ,0.064,agent.view.payment.history agent.view.payment.history , 0.038,tsys.update.phone.number tsys.update.phone.number , 0.036,agent.view.history agent.view.history , 0.032,web.exit agent.entry , 0.027,agent.view.statements agent.exit , 0.027,agent.view.statements agent.view.history , 0.024,agent.entry agent.1 , 0.021,ivr.exit agent.view.statements , 0.019,agent.view.product.information agent.view.product.information , 0.017,agent.view.statements agent.view.payment.history , 0.017,agent.entry agent.exit , 0.016,tsys.financial.adjustment tsys.chargeback , 0.016,agent.entry agent.view.statements , 0.015,agent.view.history agent.exit , 0.015,agent.view.payment.history agent.exit , 0.013,web.exit agent.exit , 0.012,agent.view.personal.information agent.exit , 0.012,agent.entry agent.view.history , 0.012,webevent.view.transactions.and.details.success webstc.manage.rewards , 0.012,agent.view.product.information agent.exit , 0.010,webevent.update.phone.number.success tsys.update.phone.number , 0.010,ivr.exit agent.view.payment.history , 0.010,ivr.exit agent.2 , 0.009,agent.pay.by.phone.success agent.view.payment.history , 0.009,webevent.view.transactions.and.details.success webstc.change.image.on.card , 0.009,agent.view.product.information agent.view.statements , 0.009,agent.entry agent.view.product.information , 0.009,marketing tsys.close.account , 0.009,tsys.close.account agent.close.account , 0.008,agent.view.payment.history agent.pay.by.phone.success , 0.008,agent.view.statements agent.view.product.information , 0.008,agent.close.account agent.exit , 0.008,agent.2 agent.exit , 0.008,agent.collections.-.promise.to.pay agent.collections.-.promise.to.pay , 0.008,agent.view.history agent.view.personal.information , 0.008,tsys.financial.adjustment tsys.financial.adjustment , 0.008,agent.view.product.information agent.view.personal.information , 0.008,tsys.balance.transfer tsys.balance.transfer , 0.007,agent.view.personal.information agent.view.history , 0.007,agent.entry agent.view.personal.information , 0.007,agent.view.personal.information agent.view.product.information , 0.006,reward agent.entry , 0.006,agent.view.collections.information agent.collections.-.promise.to.pay , 0.006,webevent.system.retrieve.default.email.address webevent.update.phone.number.success , 0.005,tsys.disputes.-.added tsys.financial.adjustment , 0.005,agent.entry agent.view.payment.history , 0.005,tsys.promise.to.pay agent.collections.-.promise.to.pay , 0.005,webevent.view.transactions.and.details.success webevent.view.alerts.page , 0.005,webstc.view.credit.line.increase.page webevent.view.transactions.and.details.success, 0.004
1,journey.entry reward ,0.295,mobile.entry mobileevent.login.with.sureswipe.success , 0.062,mobileevent.view.transactions.and.details mobileevent.view.make.a.payment , 0.061,mobileevent.login.with.sureswipe.success mobileevent.view.account.summary.success , 0.059,mobileevent.view.account.summary.success mobileevent.view.transactions.and.details , 0.054,mobile.exit mobile.entry , 0.039,reward mobile.entry , 0.033,mobileevent.view.make.a.payment mobile.exit , 0.033,tsys.update.mailing.address tsys.returned.mail , 0.028,tsys.returned.mail tsys.update.mailing.address , 0.026,mobile.exit journey.exit , 0.026,mobileevent.view.account.summary.success mobile.exit , 0.023,tsys.update.mailing.address tsys.update.mailing.address , 0.022,mobileevent.view.make.a.payment mobileevent.view.transactions.and.details , 0.021,mobileevent.view.account.summary.success mobileevent.view.make.a.payment , 0.017,mobileevent.view.make.a.payment mobileevent.make.a.payment.success , 0.014,mobileevent.view.transactions.and.details mobile.exit , 0.013,web.exit mobile.entry , 0.012,mobileevent.view.make.a.payment mobileevent.view.payment.activity , 0.011,mobileevent.view.payment.activity mobileevent.view.make.a.payment , 0.008,mobileevent.view.rewards mobile.exit , 0.008,webevent.update.mailing.address.success tsys.update.mailing.address , 0.007,reward reward , 0.007,mobileevent.view.payment.activity mobile.exit , 0.007,mobile.exit web.entry , 0.006,webevent.system.retrieve.default.email.address tsys.update.mailing.address , 0.005,mobileevent.make.a.payment.success mobileevent.view.make.a.payment , 0.005,reward web.entry , 0.005,mobileevent.make.a.payment.success mobileevent.view.payment.activity , 0.005,mobileevent.make.a.payment.success mobile.exit , 0.004,mobileevent.view.account.summary.success mobileevent.enable.sureswipe.success , 0.004,mobileevent.view.make.a.payment mobileevent.view.rewards , 0.004,tsys.returned.mail web.exit , 0.003,tsys.returned.mail webevent.update.mailing.address.success , 0.003,declined mobile.entry , 0.003,webevent.view.statement.and.document.delivery.preferences webevent.view.transactions.and.details.success , 0.003,mobileevent.login.with.sureswipe.success mobileevent.answer.security.question , 0.003,mobileevent.make.a.payment.success mobileevent.view.transactions.and.details , 0.002,mobileevent.make.a.payment.success mobileevent.view.rewards , 0.002,mobile.exit declined , 0.002,webevent.system.retrieve.default.email.address webevent.update.mailing.address.success , 0.002,mobileevent.view.account.summary.success mblstc.view.services , 0.002,mobileevent.view.rewards mobileevent.view.make.a.payment , 0.002,webevent.view.account.summary.success webstc.help , 0.002,mobileevent.view.rewards mobileevent.view.transactions.and.details , 0.002,mobileevent.view.account.summary.success mobileevent.view.payment.activity , 0.001,journey.entry tsys.card.request , 0.001,mobileevent.view.transactions.and.details mobileevent.view.rewards , 0.001,mobileevent.enable.sureswipe.success mobileevent.view.make.a.payment , 0.001,reward declined, 0.001
2,webevent.login webevent.view.account.summary.success ,0.209,web.entry webevent.login , 0.106,webevent.view.account.summary.success webevent.view.transactions.and.details.success , 0.082,web.exit journey.exit , 0.072,journey.entry web.entry , 0.051,webevent.view.account.summary.success webevent.login , 0.043,reward web.entry , 0.040,webevent.view.transactions.and.details.success webevent.login , 0.029,webevent.view.transactions.and.details.success web.exit , 0.027,webevent.view.account.summary.success web.exit , 0.020,web.exit web.exit , 0.015,webevent.view.account.summary.success webstc.view.rewards.summary , 0.014,webstc.view/redeem.rewards web.exit , 0.010,web.exit web.entry , 0.010,webstc.view.rewards.summary webstc.view/redeem.rewards , 0.009,webevent.view.account.summary.success webstc.view/redeem.rewards , 0.008,webstc.view.rewards.summary web.exit , 0.007,webevent.view.account.summary.success web.entry , 0.007,webevent.view.transactions.and.details.success webstc.view.rewards.summary , 0.007,webevent.view.transactions.and.details.success webstc.view/redeem.rewards , 0.006,webevent.view.payment.activity webevent.view.transactions.and.details.success , 0.005,webevent.view.transactions.and.details.success webevent.view.payment.activity , 0.005,webstc.error webevent.login , 0.005,webevent.view.transactions.and.details.success webstc.view/print/download.monthly.statement , 0.005,webstc.view/print/download.monthly.statement webevent.view.transactions.and.details.success , 0.004,webevent.view.account.summary.success webevent.view.payment.activity , 0.004,webevent.view.transactions.and.details.success web.entry , 0.004,webstc.view/redeem.rewards webstc.rewards.search , 0.004,webstc.view/redeem.rewards webstc.view.rewards.summary , 0.004,webevent.login webevent.view.transactions.and.details.success , 0.004,webevent.view.transactions.and.details.success webevent.view.statements.page , 0.004,webstc.view/redeem.rewards webevent.login , 0.004,webstc.manage.rewards webstc.view/redeem.rewards , 0.004,webevent.request.credit.limit.increase webstc.request.clip.-declined , 0.003,webstc.view.credit.line.increase.page webevent.request.credit.limit.increase , 0.003,webstc.rewards.search webstc.view/redeem.rewards , 0.003,webevent.view.transactions.and.details.success webstc.dispute , 0.003,web.entry webevent.view.account.summary.success , 0.003,webevent.view.account.summary.success webstc.balance.transfer , 0.003,webevent.view.account.summary.success webstc.view.credit.line.increase.page , 0.003,webstc.view/redeem.rewards webstc.manage.rewards , 0.003,webevent.view.transactions.and.details.success webevent.view.account.summary.success , 0.003,webstc.manage.rewards webstc.rewards.learn.pages , 0.002,webstc.rewards.learn.pages webstc.view/redeem.rewards , 0.002,webstc.rewards.learn.pages webstc.manage.rewards , 0.002,webevent.view.transactions.and.details.success webevent.system.retrieve.default.email.address , 0.002,webstc.view.rewards.summary webstc.rewards.learn.pages , 0.002,webstc.view/print/download.monthly.statement webevent.login , 0.002,webstc.view.credit.line.increase.page webstc.request.clip.-declined , 0.002,webevent.system.retrieve.default.email.address webstc.view/print/download.monthly.statement, 0.002
3,webevent.login webevent.view.account.summary.success ,0.152,web.entry webevent.login , 0.066,web.exit journey.exit , 0.057,journey.entry web.entry , 0.054,webevent.system.retrieve.default.email.address webevent.view.statements.page , 0.029,webevent.view.account.summary.success webevent.login , 0.028,webevent.view.account.summary.success webevent.view.statements.page , 0.028,webevent.view.statements.page webevent.system.retrieve.default.email.address , 0.027,webevent.view.account.summary.success webevent.view.transactions.and.details.success , 0.027,webevent.view.account.summary.success webstc.view.credit.line.increase.page , 0.025,webstc.view.credit.line.increase.page webevent.request.credit.limit.increase , 0.024,webevent.view.transactions.and.details.success webevent.view.make.a.payment , 0.023,webevent.request.credit.limit.increase webstc.request.clip.-approved.-accepted , 0.023,webevent.view.make.a.payment webevent.login , 0.018,webevent.view.account.summary.success webstc.request.clip.-approved.-accepted , 0.016,webevent.request.credit.limit.increase marketing , 0.013,webevent.view.statements.page webstc.view/print/download.monthly.statement , 0.013,webevent.view.account.summary.success webevent.view.statement.and.document.delivery.preferences , 0.013,webstc.request.clip.-approved.-accepted webevent.request.credit.limit.increase , 0.012,webevent.view.account.summary.success webevent.system.retrieve.default.email.address , 0.011,webevent.view.account.summary.success webstc.view/print/download.monthly.statement , 0.010,webevent.view.account.summary.success webevent.transaction.download.success , 0.010,tsys.credit.limit.change tsys.cash.limit.change , 0.010,tsys.cash.limit.change tsys.credit.limit.change , 0.009,webstc.view.rewards.summary webevent.login , 0.009,webevent.system.retrieve.default.email.address web.exit , 0.009,webevent.system.retrieve.default.email.address webevent.login , 0.008,webevent.view.account.summary.success webstc.manage.rewards , 0.008,webevent.view.transactions.and.details.success webevent.system.retrieve.default.email.address , 0.008,marketing tsys.credit.limit.change , 0.007,marketing tsys.cash.limit.change , 0.007,webstc.view/print/download.monthly.statement web.exit , 0.006,webstc.manage.rewards web.exit , 0.006,tsys.cash.limit.change webevent.view.account.summary.success , 0.006,tsys.credit.limit.change webevent.view.account.summary.success , 0.006,marketing webevent.view.account.summary.success , 0.005,webevent.open.statement.success web.exit , 0.005,webstc.request.clip.-approved.-accepted webevent.view.transactions.and.details.success , 0.005,tsys.credit.limit.change webevent.request.credit.limit.increase , 0.005,webevent.view.statements.page webevent.login , 0.005,webstc.view/print/download.monthly.statement webevent.view.statement.and.document.delivery.preferences , 0.004,webevent.view.statement.and.document.delivery.preferences webstc.view/print/download.statement.and.documents , 0.004,webstc.request.clip.-approved.-accepted tsys.credit.limit.change , 0.004,webstc.request.clip.-approved.-accepted webevent.view.make.a.payment , 0.004,webstc.dispute webevent.view.transactions.and.details.success , 0.004,webevent.view.statement.and.document.delivery.preferences web.exit , 0.004,webstc.change.image.on.card web.exit , 0.004,webevent.view.make.a.payment webevent.view.account.summary.success , 0.004,webstc.manage.rewards webevent.view.transactions.and.details.success , 0.003,webevent.transaction.download.success webevent.login, 0.003
4,webevent.login webevent.view.account.summary.success ,0.127,webevent.view.make.a.payment webevent.view.payment.activity , 0.126,webevent.view.payment.activity webevent.make.a.payment.success , 0.090,web.entry webevent.login , 0.068,webevent.view.account.summary.success webevent.view.make.a.payment , 0.061,web.exit journey.exit , 0.059,journey.entry web.entry , 0.048,webevent.view.payment.activity webevent.view.make.a.payment , 0.041,webevent.view.transactions.and.details.success webevent.view.make.a.payment , 0.032,webevent.view.payment.activity web.exit , 0.027,webevent.view.account.summary.success webevent.login , 0.025,webevent.make.a.payment.success web.exit , 0.024,webevent.view.transactions.and.details.success webevent.view.payment.activity , 0.020,webevent.make.a.payment.success webevent.view.payment.activity , 0.016,webevent.view.account.summary.success webevent.view.payment.activity , 0.015,webevent.view.make.a.payment webevent.view.transactions.and.details.success , 0.014,webevent.view.make.a.payment web.exit , 0.014,webevent.view.account.summary.success webevent.view.transactions.and.details.success , 0.013,webevent.view.payment.activity webevent.view.transactions.and.details.success , 0.012,webevent.make.a.payment.success webevent.view.transactions.and.details.success , 0.012,webevent.make.a.payment.success webevent.login , 0.010,webevent.view.make.a.payment webevent.login , 0.010,webevent.view.payment.activity webevent.login , 0.008,webevent.make.a.payment.success webevent.view.make.a.payment , 0.008,webevent.view.account.summary.success webstc.chat-reactive , 0.007,tsys.fraud.-.transactions tsys.fraud.-.transactions , 0.006,webevent.view.transactions.and.details.success web.exit , 0.005,webevent.view.statements.page webstc.view/print/download.year.end.statement. , 0.005,webevent.view.make.a.payment webevent.update.bank.profile.success , 0.005,webevent.update.bank.profile.success webevent.view.make.a.payment , 0.004,webevent.make.a.payment.success webstc.view/redeem.rewards , 0.004,webevent.view.payment.activity webevent.modify.payment.success , 0.004,webevent.view.payment.activity webevent.delete.payment.success , 0.004,webevent.login webevent.view.make.a.payment , 0.003,web.exit declined , 0.003,webevent.make.a.payment.failure webevent.view.make.a.payment , 0.003,webevent.delete.payment.success webevent.view.payment.activity , 0.003,webevent.modify.payment.success webevent.view.payment.activity , 0.002,declined journey.exit , 0.002,tsys.verification.-.card.receipt tsys.verification.-.cvvs , 0.002,webevent.view.payment.activity webevent.schedule.autopay.success , 0.002,declined declined , 0.002,webstc.browse.us.cards webevent.login , 0.002,webevent.statement.suppression.enroll.success tsys.statement.suppression , 0.002,webstc.activation tsys.verification.-.card.receipt , 0.002,mobileevent.view.account.summary.success mobileevent.view.rewards , 0.002,webevent.view.make.a.payment webevent.make.a.payment.failure , 0.002,tsys.verification.-.cvvs webevent.login , 0.001,webevent.login webevent.view.payment.activity , 0.001,webevent.delete.bank.profile.success webevent.view.make.a.payment, 0.001
5,webstc.view/print/download.monthly.statement webevent.open.statement.success ,0.104,webevent.system.retrieve.default.email.address webstc.view/print/download.monthly.statement , 0.086,webevent.view.statements.page webevent.system.retrieve.default.email.address , 0.078,webevent.open.statement.success webstc.view/print/download.monthly.statement , 0.068,agent.view.statements agent.view.statements , 0.034,webevent.view.statements.page webstc.view/print/download.monthly.statement , 0.029,webevent.view.transactions.and.details.success webevent.view.statements.page , 0.028,webevent.system.retrieve.default.email.address webevent.view.statement.and.document.delivery.preferences , 0.022,webevent.view.statement.and.document.delivery.preferences webevent.system.retrieve.default.email.address , 0.020,agent.view.personal.information agent.view.personal.information , 0.020,webstc.view/print/download.monthly.statement webevent.view.statements.page , 0.019,webstc.view/print/download.monthly.statement web.exit , 0.015,webstc.view/print/download.monthly.statement webevent.system.retrieve.default.email.address , 0.014,webstc.view/print/download.monthly.statement webevent.view.transactions.and.details.success , 0.014,webstc.view.rewards.summary webevent.view.transactions.and.details.success , 0.013,webstc.view/redeem.rewards webevent.view.transactions.and.details.success , 0.013,webevent.view.statement.and.document.delivery.preferences webstc.view/print/download.statement.and.documents , 0.012,webevent.use.search.bar.success webstc.search , 0.011,agent.view.history agent.view.statements , 0.010,webstc.view/print/download.monthly.statement webevent.view.make.a.payment , 0.010,webevent.view.account.summary.success webevent.view.statements.page , 0.009,webevent.view.document.history webevent.view.statement.and.document.delivery.preferences , 0.009,webevent.system.retrieve.default.email.address webstc.view/print/download.year.end.statement. , 0.009,webstc.view.rewards.summary webstc.manage.rewards , 0.009,webstc.view/print/download.statement.and.documents webevent.open.document.success , 0.009,webevent.view.document.history webevent.system.retrieve.default.email.address , 0.008,webevent.system.retrieve.default.email.address webstc.view/print/download.statement.and.documents , 0.008,webstc.view/print/download.monthly.statement webevent.view.payment.activity , 0.008,webevent.open.statement.success web.exit , 0.008,agent.view.payment.history agent.view.statements , 0.008,webstc.view/print/download.year.end.statement. webevent.open.statement.success , 0.007,webstc.view/print/download.monthly.statement webevent.login , 0.007,agent.exit agent.entry , 0.007,agent.1 ivr.exit , 0.006,agent.view.statements agent.view.personal.information , 0.006,agent.view.personal.information agent.view.statements , 0.006,agent.view.statements tsys.financial.adjustment , 0.006,webevent.view.payment.activity webevent.view.statements.page , 0.005,tsys.financial.adjustment agent.financial.adjustments , 0.005,agent.exit web.entry , 0.005,agent.financial.adjustments agent.view.statements , 0.005,webevent.open.statement.success webevent.view.statements.page , 0.005,webevent.view.account.summary.success webevent.view.document.history , 0.005,webevent.open.document.success webstc.view/print/download.statement.and.documents , 0.004,marketing agent.offer.accepted , 0.004,webstc.view/print/download.statement.and.documents webevent.view.statements.page , 0.004,agent.view.statements agent.exit , 0.004,webstc.view/print/download.statement.and.documents webevent.system.retrieve.default.email.address , 0.004,webevent.system.retrieve.default.email.address webevent.view.document.history , 0.004,webevent.view.account.summary.success webstc.rewards.learn.pages, 0.004
6,web.exit journey.exit ,0.054,journey.entry web.entry , 0.050,web.entry web.exit , 0.049,web.exit web.entry , 0.045,web.entry webstc.error , 0.035,webevent.modify.alerts.success webevent.view.alerts.page , 0.029,webevent.view.alerts.page webstc.view/edit/add.alert.contact.points , 0.027,webevent.view.alerts.page webevent.modify.alerts.success , 0.026,webstc.browse.us.cards webevent.login , 0.025,webstc.view/redeem.rewards webevent.view.make.a.payment , 0.024,webstc.promotional.offer.eligilbility webstc.select.a.promotional.offer , 0.024,webevent.view.account.summary.success webevent.view.alerts.page , 0.020,web.entry webstc.browse.us.cards , 0.019,webevent.view.account.summary.success webstc.error , 0.017,webstc.error web.exit , 0.017,webevent.view.transactions.and.details.failure webevent.view.transactions.and.details.success , 0.015,webstc.select.a.promotional.offer webstc.no.offer.available. , 0.014,webstc.view.rewards.summary webevent.view.make.a.payment , 0.014,webstc.no.offer.available. webstc.promotional.offer.eligilbility , 0.013,ivr.proactive.balance ivr.disp.completed.call , 0.013,webstc.view/print/download.year.end.statement. webevent.view.statements.page , 0.011,webstc.view/edit/add.alert.contact.points webevent.view.alerts.page , 0.011,webevent.view.account.summary.success webstc.promotional.offer.eligilbility , 0.011,webevent.view.account.summary.success webevent.view.transactions.and.details.failure , 0.010,web.entry webstc.view/print/download.monthly.statement , 0.009,webstc.browse.us.cards web.exit , 0.009,tsys.verification.-.cvvs tsys.verification.-.cvvs , 0.009,tsys.update.email.address mobile.entry , 0.008,webevent.view.alerts.page web.exit , 0.008,webevent.view.account.summary.success webevent.login.failure , 0.007,webevent.system.retrieve.default.email.address webevent.modify.alerts.success , 0.007,webstc.view/edit/add.alert.contact.points webevent.modify.alerts.success , 0.007,webevent.view.account.summary.success webevent.system.retrieve.default.email.address , 0.007,webevent.login.failure webevent.view.account.summary.success , 0.006,webevent.login webevent.login.failure , 0.006,reward web.entry , 0.006,webstc.view/print/download.monthly.statement web.exit , 0.006,agent.view.history agent.view.payment.history , 0.005,webevent.modify.alerts.success tsys.update.email.address , 0.005,webstc.view/print/download.year.end.statement. webstc.view/print/download.monthly.statement , 0.005,webevent.request.credit.limit.increase webstc.request.clip.-judgmental.underwriting , 0.005,ivr.exit web.entry , 0.005,webstc.select.a.promotional.offer marketing , 0.005,webstc.promotional.offer.eligilbility web.exit , 0.005,reward reward , 0.004,webevent.login webstc.error , 0.004,tsys.verification.-.cvvs tsys.update.email.address , 0.004,webstc.online.application webstc.online.application.with.eos.enrollment , 0.004,webstc.view/print/download.monthly.statement webstc.view/print/download.year.end.statement. , 0.004,web.entry webstc.online.application, 0.004
7,agent.entry agent.1 ,0.114,ivr.disp.agent.transfer ivr.exit , 0.089,agent.1 ivr.disp.agent.transfer , 0.083,ivr.entry ivr.proactive.balance , 0.079,ivr.proactive.balance agent.entry , 0.042,agent.exit journey.exit , 0.037,ivr.entry agent.entry , 0.023,ivr.disp.completed.call ivr.exit , 0.023,web.exit ivr.entry , 0.020,reward ivr.entry , 0.020,agent.view.statements agent.view.authorization , 0.017,agent.view.authorization agent.view.statements , 0.017,agent.exit webevent.login , 0.014,ivr.exit agent.exit , 0.013,webevent.view.transactions.and.details.success ivr.entry , 0.013,ivr.exit agent.view.personal.information , 0.009,ivr.exit journey.exit , 0.008,agent.view.personal.information agent.exit , 0.008,agent.exit ivr.entry , 0.008,ivr.exit ivr.entry , 0.007,agent.1 agent.exit , 0.006,agent.view.statements agent.2 , 0.006,ivr.exit agent.view.history , 0.006,ivr.proactive.balance ivr.rewards , 0.006,ivr.exit webevent.login , 0.006,ivr.entry ivr.activation , 0.005,ivr.activation tsys.verification.-.card.receipt , 0.005,agent.view.authorization agent.view.history , 0.005,ivr.fraud agent.entry , 0.004,agent.2 agent.view.statements , 0.004,agent.view.history agent.view.authorization , 0.004,ivr.fraud ivr.fraud , 0.004,ivr.proactive.balance ivr.recent.transactions , 0.004,agent.update.personal.information agent.view.personal.information , 0.004,webevent.view.account.summary.success agent.exit , 0.003,webstc.error ivr.entry , 0.003,ivr.entry ivr.online.unlock.account , 0.003,ivr.online.unlock.account agent.entry , 0.003,agent.view.personal.information tsys.verification.-.cvvs , 0.003,mobile.exit ivr.entry , 0.003,agent.manage.online.access webstc.temporary.password , 0.003,tsys.fraud.-.watch agent.travel.notification , 0.003,tsys.pin.-.change agent.account.pin , 0.003,ivr.disp.deleveraged.call ivr.exit , 0.003,tsys.verification.-.card.receipt ivr.disp.completed.call , 0.003,agent.2 agent.3 , 0.003,agent.1 ivr.disp.deleveraged.call , 0.003,agent.account.pin tsys.pin.-.change , 0.002,agent.view.authorization agent.view.payment.history , 0.002,tsys.verification.-.card.receipt agent.activation.success, 0.002
8,mobile.entry mobileevent.login.with.password.success ,0.189,mobileevent.login.with.password.success mobileevent.view.account.summary.success , 0.143,mobile.exit journey.exit , 0.068,mobile.exit mobile.entry , 0.044,web.exit mobile.entry , 0.042,mobileevent.login.with.password.success mobile.exit , 0.032,mobileevent.view.account.summary.success mobile.exit , 0.032,mobileevent.view.account.summary.success mobileevent.view.make.a.payment , 0.024,mobile.exit webevent.login , 0.021,mobile.exit web.entry , 0.019,mobileevent.view.make.a.payment mobileevent.make.a.payment.success , 0.019,mobile.exit mobile.exit , 0.017,mobileevent.view.make.a.payment mobile.exit , 0.016,mobileevent.answer.security.question mobileevent.answer.security.question.success , 0.015,journey.entry web.entry , 0.013,mobileevent.login.with.password.success mobileevent.answer.security.question , 0.013,journey.entry tsys.card.request , 0.013,reward mobile.entry , 0.012,mobileevent.view.account.summary.success mobileevent.decline.sureswipe.enrollment.intercept , 0.012,mblstc.view.services mobile.exit , 0.011,mobileevent.answer.security.question.success mobile.exit , 0.010,mobileevent.view.transactions.and.details mobile.exit , 0.010,mobileevent.make.a.payment.success mobile.exit , 0.009,mobile.entry mobile.exit , 0.009,webstc.request.clip.-approved.-accepted webevent.view.account.summary.success , 0.007,web.entry mobile.entry , 0.007,webstc.view.credit.line.increase.page webstc.request.clip.-approved.-accepted , 0.007,web.entry web.exit , 0.007,webstc.link.accounts web.exit , 0.005,agent.exit mobile.entry , 0.005,mblstc.error mobile.exit , 0.005,alerts.delivered journey.exit , 0.005,webevent.view.account.summary.success mobile.entry , 0.004,mobileevent.view.make.a.payment mblstc.view.services , 0.004,mobileevent.decline.sureswipe.enrollment.intercept mobileevent.view.transactions.and.details , 0.004,reward reward , 0.004,webevent.view.transactions.and.details.success mobile.entry , 0.004,mobileevent.view.make.a.payment mobile.entry , 0.004,web.exit alerts.delivered , 0.004,mobileevent.decline.sureswipe.enrollment.intercept mobileevent.view.make.a.payment , 0.004,mobileevent.view.account.summary.success mobile.entry , 0.004,webevent.view.transactions.and.details.success webevent.view.authorized.users , 0.004,mobileevent.login.with.password.success mobile.entry , 0.004,tsys.card.request mobile.entry , 0.003,mblstc.view.services mobileevent.view.activate.card , 0.003,mblstc.contact.us mobile.exit , 0.003,mobileevent.decline.sureswipe.enrollment.intercept mobile.exit , 0.003,mobile.entry mblstc.error , 0.003,webevent.view.account.summary.success webstc.request.clip.-approved.-lower , 0.003,mobile.entry mobileevent.view.account.summary.success, 0.003
9,webevent.view.account.summary.success webstc.link.accounts ,0.037,agent.exit web.exit , 0.028,webstc.link.accounts webevent.view.account.summary.success , 0.023,webevent.view.account.summary.success ivr.entry , 0.018,tsys.chargeback tsys.financial.adjustment , 0.018,agent.view.authorization agent.view.authorization , 0.016,webstc.chat-reactive agent.entry , 0.015,webevent.view.account.summary.success tsys.update.email.address , 0.012,tsys.photo.card.indicator tsys.number.of.cards , 0.012,tsys.number.of.cards tsys.card.request , 0.012,tsys.card.request tsys.photo.card.indicator , 0.011,tsys.card.request tsys.number.of.cards , 0.011,webevent.view.account.summary.success webevent.system.retrieve.default.email.address , 0.011,tsys.photo.card.indicator tsys.card.request , 0.011,tsys.number.of.cards tsys.photo.card.indicator , 0.011,tsys.update.mailing.address webevent.update.mailing.address.success , 0.010,tsys.fraud.-.lsrp tsys.credit.bureau , 0.010,webstc.view.credit.line.increase.page webstc.faq , 0.009,tsys.update.mailing.address journey.exit , 0.009,webevent.view.account.summary.success agent.entry , 0.009,tsys.credit.bureau tsys.fraud.-.lsrp , 0.009,tsys.card.request tsys.update.email.address , 0.008,tsys.fraud.-.lsrp agent.lost.stolen.replacement.card , 0.008,webstc.view.rewards.summary webevent.view.payment.activity , 0.008,tsys.fraud.-.lsrp tsys.fraud.-.lsrp , 0.008,agent.view.authorization agent.exit , 0.008,agent.lost.stolen.replacement.card tsys.fraud.-.lsrp , 0.007,webevent.update.mailing.address.success tsys.returned.mail , 0.007,tsys.update.email.address webstc.link.accounts , 0.007,tsys.statement.suppression webevent.view.account.summary.success , 0.007,webstc.faq webstc.view.credit.line.increase.page , 0.006,web.exit tsys.update.mailing.address , 0.006,webevent.view.account.summary.success webstc.chat-proactive , 0.006,ivr.exit agent.view.authorization , 0.006,tsys.card.request tsys.card.request , 0.006,webevent.view.statement.and.document.delivery.preferences webevent.modify.statement.and.document.delivery.preferences , 0.005,webevent.modify.statement.and.document.delivery.preferences webevent.view.account.summary.success , 0.005,webstc.chat-proactive agent.entry , 0.005,web.exit agent.exit , 0.005,agent.exit journey.exit , 0.005,tsys.returned.mail tsys.returned.mail , 0.005,tsys.credit.bureau agent.lost.stolen.replacement.card , 0.005,journey.entry tsys.card.request , 0.004,webstc.chat-reactive webevent.view.transactions.and.details.success , 0.004,webevent.view.transactions.and.details.success agent.entry , 0.004,agent.view.statements web.exit , 0.004,agent.view.personal.information agent.card.delete.request , 0.004,ivr.exit web.exit , 0.004,tsys.change.payment.due.date tsys.update.mailing.address , 0.004,webevent.modify.statement.and.document.delivery.preferences webevent.modify.statement.and.document.delivery.preferences.success, 0.004
