,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,webevent.view.account.summary.success webstc.view/print/download.monthly.statement ,0.099,webevent.view.transactions.and.details.success webstc.dispute , 0.068,webstc.dispute webevent.view.transactions.and.details.success , 0.037,webstc.rewards.learn.pages web.exit , 0.037,ivr.exit agent.2 , 0.037,webevent.view.account.summary.success webevent.view.authorized.users , 0.032,agent.2 agent.exit , 0.030,webevent.view.make.a.payment webstc.view/redeem.rewards , 0.027,ivr.exit webevent.login , 0.026,chordiant webevent.submit.dispute.success , 0.023,webevent.view.account.summary.success webstc.change.image.on.card , 0.022,webstc.dispute chordiant , 0.022,webstc.faq webstc.rewards.learn.pages , 0.021,webstc.change.image.on.card web.exit , 0.020,webevent.submit.dispute.success webevent.request.alerts.test.success , 0.020,webevent.view.transactions.and.details.success webstc.rewards.learn.pages , 0.018,webstc.view/print/download.statement.and.documents webstc.view/print/download.monthly.statement , 0.016,webstc.rewards.learn.pages webstc.faq , 0.015,webevent.view.statement.and.document.delivery.preferences webevent.view.transactions.and.details.success , 0.015,agent.view.history agent.2 , 0.013,webevent.request.credit.limit.increase webstc.request.clip.-approval.turn.down , 0.012,webstc.change.image.on.card webevent.login , 0.012,web.exit chordiant , 0.010,webevent.view.account.summary.success webstc.help , 0.010,webstc.view/edit/add.alert.contact.points web.exit , 0.009,webevent.view.authorized.users web.exit , 0.008,tsys.correspondence tsys.close.account , 0.008,webstc.view/print/download.monthly.statement agent.entry , 0.008,webstc.set.display.preference. webevent.view.account.summary.success , 0.007,webevent.view.account.summary.success webstc.set.display.preference. , 0.007,webstc.dispute agent.entry , 0.006,webstc.link.accounts webstc.set.display.preference. , 0.006,webevent.view.authorized.users webevent.view.transactions.and.details.success , 0.006,webevent.view.authorized.users webevent.login , 0.006,tsys.financial.adjustment journey.exit , 0.005,webevent.submit.dispute.success webstc.dispute , 0.005,webstc.rewards.search webstc.rewards.learn.pages , 0.005,webstc.help webevent.login , 0.005,tsys.verification.-.cvvs tsys.pin.-.change , 0.004,web.exit mobileevent.login.with.password.success , 0.004,webstc.change.image.on.card webevent.system.retrieve.default.email.address , 0.004,webstc.view/edit/add.alert.contact.points webevent.view.transactions.and.details.success , 0.004,webstc.rewards.learn.pages webstc.rewards.search , 0.004,chordiant tsys.credit.revoked , 0.004,webstc.help web.exit , 0.004,webevent.view.transactions.and.details.success webstc.help , 0.004,webstc.request.clip.-judgmental.underwriting webevent.view.transactions.and.details.success , 0.004,web.exit tsys.financial.adjustment , 0.004,webstc.request.clip.-approval.turn.down webevent.view.transactions.and.details.success , 0.003,webstc.change.image.on.card webevent.view.account.summary.success, 0.003
1,webstc.view/print/download.monthly.statement webevent.view.statements.page ,0.160,webevent.system.retrieve.default.email.address webstc.view/print/download.year.end.statement. , 0.075,webstc.promotional.offer.eligilbility webstc.select.a.promotional.offer , 0.069,webevent.open.statement.success webevent.login , 0.055,webevent.system.retrieve.default.email.address webevent.open.statement.success , 0.050,webstc.no.offer.available. webstc.promotional.offer.eligilbility , 0.039,webevent.view.account.summary.success webstc.promotional.offer.eligilbility , 0.032,webstc.browse.us.cards web.exit , 0.026,webstc.view/print/download.year.end.statement. webevent.system.retrieve.default.email.address , 0.022,webevent.view.account.summary.success webevent.login.failure , 0.021,webevent.view.authorized.users webevent.add.authorized.user.success , 0.019,webevent.login.failure webstc.error , 0.018,webstc.select.a.promotional.offer marketing , 0.014,webevent.view.transactions.and.details.success webevent.view.authorized.users , 0.011,webstc.view/print/download.year.end.statement. webevent.view.transactions.and.details.success , 0.010,webstc.promotional.offer.eligilbility webevent.view.transactions.and.details.success , 0.010,tsys.credit.revoked agent.exit , 0.008,webevent.view.make.a.payment webevent.view.transactions.and.details.failure , 0.008,marketing webstc.no.offer.available. , 0.008,webevent.view.authorized.users web.exit , 0.007,webstc.no.offer.available. web.exit , 0.005,webevent.make.a.payment.success webstc.browse.us.cards , 0.005,tsys.employment tsys.card.request , 0.005,webstc.view/redeem.rewards webstc.browse.us.cards , 0.005,webstc.promotional.offer.eligilbility webevent.login , 0.004,tsys.card.request tsys.employment , 0.004,tsys.add.authorized.user tsys.update.mailing.address , 0.004,webstc.view.rewards.summary webstc.promotional.offer.eligilbility , 0.004,tsys.update.phone.number tsys.account.relationship , 0.004,tsys.add.authorized.user tsys.update.phone.number , 0.004,tsys.number.of.cards tsys.employment , 0.004,tsys.pin.-.change tsys.add.authorized.user , 0.004,tsys.update.mailing.address tsys.account.relationship , 0.004,mobileevent.view.make.a.payment mblstc.error , 0.003,tsys.account.relationship tsys.date.of.birth , 0.003,tsys.add.authorized.user tsys.account.relationship , 0.003,tsys.date.of.birth tsys.update.mailing.address , 0.003,tsys.update.phone.number tsys.date.of.birth , 0.003,tsys.date.of.birth tsys.add.authorized.user , 0.003,tsys.ssn.-.tax.id tsys.employment , 0.003,tsys.update.mailing.address tsys.verification.-.id.added.or.changed , 0.003,webstc.promotional.offer.eligilbility webstc.view.rewards.summary , 0.003,tsys.employment tsys.number.of.cards , 0.003,tsys.update.phone.number tsys.pin.-.change , 0.003,webstc.promotional.offer.eligilbility webstc.no.offer.available. , 0.003,tsys.date.of.birth tsys.pin.-.change , 0.003,tsys.name.change tsys.add.authorized.user , 0.003,tsys.employment web.exit , 0.003,webstc.promotional.offer.eligilbility webstc.change.image.on.card , 0.003,webstc.view/print/download.year.end.statement. webevent.view.payment.activity, 0.003
2,agent.view.payment.history agent.view.payment.history ,0.152,agent.view.history agent.view.history , 0.127,agent.view.history agent.exit , 0.071,agent.view.statements agent.view.payment.history , 0.067,agent.exit journey.exit , 0.064,agent.view.payment.history agent.exit , 0.053,agent.pay.by.phone.success agent.view.payment.history , 0.036,agent.view.payment.history agent.pay.by.phone.success , 0.032,tsys.financial.adjustment tsys.financial.adjustment , 0.030,agent.entry agent.1 , 0.030,ivr.exit agent.view.payment.history , 0.027,agent.view.authorization agent.view.history , 0.022,agent.entry agent.view.payment.history , 0.020,agent.view.history agent.view.authorization , 0.016,agent.view.authorization agent.view.payment.history , 0.015,agent.view.payment.history agent.view.authorization , 0.013,tsys.verification.-.card.receipt agent.activation.success , 0.011,agent.view.payment.history agent.2 , 0.011,agent.view.product.information agent.view.history , 0.010,tsys.fraud.-.watch tsys.fraud.-.watch , 0.008,agent.view.payment.history agent.view.product.information , 0.008,agent.view.personal.information agent.view.payment.history , 0.007,agent.2 agent.view.history , 0.007,agent.view.payment.history agent.view.personal.information , 0.006,agent.view.product.information agent.view.payment.history , 0.006,web.exit agent.view.history , 0.006,agent.activation.success agent.exit , 0.006,agent.2 agent.view.payment.history , 0.005,reward agent.entry , 0.004,tsys.financial.adjustment agent.entry , 0.004,agent.view.personal.information agent.view.history , 0.004,agent.collections.-.promise.to.pay agent.view.history , 0.004,agent.card.delete.request agent.view.history , 0.004,agent.view.payment.history marketing , 0.003,declined chordiant , 0.003,ivr.exit tsys.verification.-.card.receipt , 0.003,agent.3 agent.view.history , 0.003,webevent.view.make.a.payment agent.view.payment.history , 0.003,agent.view.payment.history webevent.login , 0.003,agent.view.history agent.3 , 0.003,ivr.activation agent.entry , 0.003,tsys.financial.adjustment tsys.card.request , 0.003,agent.modify.payment.success agent.view.payment.history , 0.002,agent.view.payment.history tsys.financial.adjustment , 0.002,agent.update.bank.profile.success agent.view.payment.history , 0.002,ivr.exit agent.view.collections.information , 0.002,agent.1 tsys.fraud.-.watch , 0.002,agent.view.payment.history agent.submit.work.entry , 0.002,agent.offer.not.accepted agent.offer.not.accepted , 0.002,agent.view.history ivr.entry, 0.002
3,agent.entry agent.1 ,0.140,ivr.disp.agent.transfer ivr.exit , 0.134,agent.1 ivr.disp.agent.transfer , 0.124,ivr.entry ivr.proactive.balance , 0.085,ivr.proactive.balance agent.entry , 0.063,agent.exit journey.exit , 0.049,reward ivr.entry , 0.038,ivr.entry agent.entry , 0.035,ivr.exit agent.view.statements , 0.031,agent.view.payment.history agent.view.statements , 0.022,ivr.exit agent.exit , 0.020,agent.view.statements agent.view.statements , 0.019,agent.1 ivr.exit , 0.019,agent.view.statements agent.exit , 0.017,ivr.exit agent.view.personal.information , 0.013,marketing agent.offer.accepted , 0.013,ivr.exit agent.view.history , 0.009,agent.view.personal.information agent.view.personal.information , 0.009,agent.view.personal.information agent.exit , 0.008,webevent.view.account.summary.success webstc.search , 0.007,agent.offer.accepted agent.exit , 0.006,ivr.exit marketing , 0.006,agent.view.statements agent.2 , 0.005,agent.view.personal.information tsys.verification.-.cvvs , 0.005,tsys.fraud.-.watch agent.travel.notification , 0.004,tsys.verification.-.cvvs tsys.update.email.address , 0.004,agent.2 agent.view.statements , 0.004,mobileevent.answer.security.question.success mobileevent.view.account.summary.success , 0.004,agent.offer.accepted agent.view.personal.information , 0.004,agent.view.authorization agent.view.personal.information , 0.004,ivr.recent.transactions agent.entry , 0.003,ivr.exit agent.view.payment.history , 0.003,webstc.rewards.learn.pages ivr.entry , 0.003,agent.2 agent.view.personal.information , 0.003,tsys.update.email.address agent.view.personal.information , 0.003,ivr.proactive.balance ivr.balance.details , 0.003,agent.financial.adjustments agent.exit , 0.003,ivr.proactive.balance ivr.recent.transactions , 0.003,tsys.update.email.address tsys.update.email.address , 0.003,agent.travel.notification agent.exit , 0.003,mobileevent.view.account.summary.success mobileevent.view.payment.activity , 0.002,agent.view.personal.information tsys.update.email.address , 0.002,agent.view.statements marketing , 0.002,marketing agent.account.retention.success , 0.002,agent.view.personal.information agent.view.authorization , 0.002,agent.view.personal.information agent.2 , 0.002,agent.view.personal.information marketing , 0.002,agent.2 agent.view.history , 0.002,agent.account.retention.success agent.exit , 0.002,ivr.proactive.balance ivr.fees, 0.001
4,agent.view.personal.information agent.view.personal.information ,0.067,agent.exit journey.exit , 0.043,agent.view.personal.information agent.exit , 0.026,tsys.photo.card.indicator tsys.number.of.cards , 0.022,tsys.number.of.cards tsys.card.request , 0.022,tsys.card.request tsys.photo.card.indicator , 0.022,tsys.card.request tsys.number.of.cards , 0.021,tsys.photo.card.indicator tsys.card.request , 0.020,tsys.number.of.cards tsys.photo.card.indicator , 0.020,tsys.fraud.-.lsrp tsys.credit.bureau , 0.018,tsys.credit.bureau tsys.fraud.-.lsrp , 0.016,tsys.fraud.-.lsrp agent.lost.stolen.replacement.card , 0.016,tsys.fraud.-.lsrp tsys.fraud.-.lsrp , 0.015,agent.entry agent.exit , 0.015,agent.entry agent.view.product.information , 0.014,agent.lost.stolen.replacement.card tsys.fraud.-.lsrp , 0.014,agent.entry agent.1 , 0.013,agent.collections.-.promise.to.pay agent.collections.-.promise.to.pay , 0.013,agent.view.history agent.view.personal.information , 0.013,agent.view.product.information agent.view.personal.information , 0.013,agent.entry agent.view.personal.information , 0.012,agent.update.personal.information agent.view.personal.information , 0.012,agent.view.personal.information agent.view.product.information , 0.011,ivr.exit agent.entry , 0.010,agent.view.personal.information agent.view.history , 0.010,agent.exit agent.entry , 0.010,tsys.credit.bureau agent.lost.stolen.replacement.card , 0.009,tsys.promise.to.pay agent.collections.-.promise.to.pay , 0.008,agent.view.personal.information agent.card.delete.request , 0.008,agent.exit mobile.entry , 0.007,tsys.update.mailing.address agent.update.personal.information , 0.007,agent.view.personal.information tsys.update.mailing.address , 0.007,agent.card.delete.request tsys.number.of.cards , 0.007,agent.card.delete.request tsys.card.request , 0.006,agent.collections.-.promise.to.pay agent.exit , 0.006,agent.card.delete.request tsys.photo.card.indicator , 0.006,agent.view.statements agent.lost.stolen.replacement.card , 0.006,agent.entry agent.lost.stolen.replacement.card , 0.006,ivr.disp.deleveraged.call ivr.exit , 0.005,agent.1 agent.view.personal.information , 0.005,agent.lost.stolen.replacement.card tsys.card.request , 0.005,agent.1 ivr.disp.deleveraged.call , 0.005,agent.card.delete.request agent.exit , 0.005,tsys.number.of.cards agent.financial.adjustments , 0.005,agent.view.history agent.view.product.information , 0.005,agent.view.history agent.card.delete.request , 0.005,agent.lost.stolen.replacement.card tsys.credit.bureau , 0.005,agent.lost.stolen.replacement.card tsys.number.of.cards , 0.005,agent.lost.stolen.replacement.card agent.exit , 0.005,agent.lost.stolen.replacement.card tsys.photo.card.indicator, 0.005
5,webstc.view.rewards.summary webevent.view.transactions.and.details.success ,0.206,mobile.exit web.entry , 0.159,webevent.view.payment.activity webevent.delete.payment.success , 0.080,webevent.delete.payment.success webevent.view.payment.activity , 0.057,web.exit tsys.update.mailing.address , 0.046,tsys.cash.limit.change marketing , 0.041,webevent.request.credit.limit.increase tsys.cash.limit.change , 0.036,webevent.view.transactions.and.details.success webstc.browse.us.cards , 0.032,webevent.view.account.summary.success webevent.view.due.date.page , 0.031,web.exit journey.exit , 0.024,webevent.view.due.date.page webevent.change.payment.due.date.success , 0.021,mobile.exit web.exit , 0.017,webevent.change.payment.due.date.success tsys.change.payment.due.date , 0.016,webevent.change.payment.due.date.success webevent.view.payment.activity , 0.016,webevent.view.payment.activity tsys.change.payment.due.date , 0.015,webevent.view.due.date.page webevent.view.payment.activity , 0.012,webevent.view.payment.activity webevent.change.payment.due.date.success , 0.011,webevent.view.due.date.page web.exit , 0.010,webevent.view.transactions.and.details.success webevent.view.due.date.page , 0.008,webevent.view.make.a.payment mobile.entry , 0.007,tsys.change.payment.due.date web.exit , 0.007,mobile.exit webevent.view.account.summary.success , 0.006,agent.exit tsys.financial.adjustment , 0.006,webstc.view.rewards.summary mobile.entry , 0.005,declined agent.entry , 0.004,webstc.view/redeem.rewards agent.exit , 0.004,webevent.view.due.date.page webevent.view.transactions.and.details.success , 0.004,webevent.view.payment.activity webevent.view.due.date.page , 0.004,webstc.error mobile.entry , 0.004,webevent.view.make.a.payment webevent.view.due.date.page , 0.004,tsys.financial.adjustment tsys.correspondence , 0.003,webstc.view.services.page webevent.view.due.date.page , 0.003,webevent.view.due.date.page webevent.view.make.a.payment , 0.003,webevent.delete.payment.success webevent.view.transactions.and.details.success , 0.003,tsys.change.payment.due.date webevent.view.transactions.and.details.success , 0.003,mobileevent.make.a.payment.success mblstc.view.services , 0.003,tsys.change.payment.due.date webevent.login , 0.002,webevent.view.due.date.page webevent.login , 0.002,webstc.view/print/download.monthly.statement mobile.entry , 0.002,tsys.correspondence journey.exit , 0.002,tsys.change.payment.due.date webevent.view.make.a.payment , 0.002,webstc.chat-ignore ivr.entry , 0.002,webevent.view.due.date.page tsys.change.payment.due.date , 0.002,mobileevent.view.transactions.and.details web.entry , 0.002,web.entry mobile.exit , 0.002,webstc.view/print/download.monthly.statement webstc.chat-proactive , 0.002,webevent.system.retrieve.default.email.address webevent.view.due.date.page , 0.002,webevent.delete.payment.success webevent.login , 0.001,agent.entry webstc.view/redeem.rewards , 0.001,webstc.chat-reactive webevent.view.due.date.page, 0.001
6,mobile.entry mobileevent.login.with.password.success ,0.230,mobileevent.login.with.password.success mobile.exit , 0.159,mobile.exit journey.exit , 0.076,web.exit mobile.entry , 0.068,mblstc.view.services mobile.exit , 0.053,mobile.exit mobile.entry , 0.030,mobile.exit mobile.exit , 0.019,mobile.exit ivr.entry , 0.018,agent.1 agent.2 , 0.017,mobileevent.view.account.summary.success mblstc.view.services , 0.016,mblstc.view.services mobileevent.view.activate.card , 0.015,tsys.verification.-.cvvs web.exit , 0.015,mblstc.contact.us mobile.exit , 0.014,mobile.entry mobileevent.view.account.summary.success , 0.013,mobileevent.view.activate.card mblstc.view.services , 0.012,mblstc.view.services mblstc.contact.us , 0.010,mblstc.view.services mobileevent.view.make.a.payment , 0.008,mblstc.find.nearest.atm/branch mobile.exit , 0.007,declined mobile.entry , 0.007,mobileevent.login.with.password.success mblstc.contact.us , 0.007,mblstc.view.schedule.payment.terms mobile.exit , 0.007,mobileevent.view.payment.activity mblstc.view.services , 0.007,mblstc.contact.us mblstc.view.services , 0.007,mobileevent.view.make.a.payment mobileevent.login.with.password.success , 0.006,mobileevent.view.rewards mblstc.view.services , 0.006,mobileevent.login.with.password.success mobileevent.view.account.summary.success , 0.005,mobileevent.view.transactions.and.details mblstc.view.services , 0.005,mblstc.view.services mobileevent.view.transactions.and.details , 0.004,mobileevent.login.with.sureswipe.success mobile.exit , 0.004,mobileevent.answer.security.question.failure mobileevent.answer.security.question.success , 0.004,mblstc.view.services mblstc.find.nearest.atm/branch , 0.004,mobile.exit mblstc.view.services , 0.004,mblstc.view.services mobileevent.view.rewards , 0.003,mobileevent.answer.security.question.success mobile.entry , 0.003,mblstc.error mblstc.view.services , 0.003,mobile.entry mblstc.find.nearest.atm/branch , 0.003,mblstc.find.nearest.atm/branch mblstc.view.services , 0.003,mblstc.view.services mobile.entry , 0.003,mblstc.find.nearest.atm/branch mobileevent.login.with.password.success , 0.003,mobileevent.decline.sureswipe.enrollment.intercept mblstc.view.services , 0.002,mobileevent.view.make.a.payment mblstc.contact.us , 0.002,mblstc.security.info mobile.exit , 0.002,mblstc.contact.us ivr.entry , 0.002,mobileevent.view.deals mblstc.view.deals. , 0.002,mblstc.view.services mobileevent.view.payment.activity , 0.002,mobileevent.enable.sureswipe.success mblstc.view.services , 0.002,mobileevent.login.with.password.success web.entry , 0.002,webstc.faq webevent.view.payment.activity , 0.002,agent.exit mobile.exit , 0.002,mblstc.view.services mblstc.error, 0.002
7,ivr.entry ivr.proactive.balance ,0.113,ivr.disp.completed.call ivr.exit , 0.109,web.exit ivr.entry , 0.097,agent.view.authorization agent.view.authorization , 0.074,ivr.proactive.balance ivr.disp.completed.call , 0.043,ivr.exit journey.exit , 0.041,ivr.exit ivr.entry , 0.032,agent.exit ivr.entry , 0.031,ivr.proactive.balance ivr.rewards , 0.030,ivr.entry ivr.activation , 0.026,ivr.exit agent.view.authorization , 0.026,agent.view.authorization agent.exit , 0.025,ivr.activation tsys.verification.-.card.receipt , 0.023,ivr.proactive.balance ivr.fraud , 0.021,ivr.fraud agent.entry , 0.020,ivr.fraud ivr.fraud , 0.017,ivr.exit web.entry , 0.016,ivr.exit tsys.verification.-.cvvs , 0.014,tsys.verification.-.card.receipt ivr.disp.completed.call , 0.013,tsys.verification.-.cvvs tsys.fraud.-.watch , 0.011,ivr.proactive.balance ivr.close.account , 0.011,ivr.proactive.balance ivr.payment.success , 0.011,ivr.close.account agent.entry , 0.009,ivr.proactive.balance ivr.recent.transactions , 0.008,ivr.payment.success ivr.disp.completed.call , 0.008,tsys.pin.-.change ivr.disp.completed.call , 0.008,chordiant tsys.fraud.-.watch , 0.007,ivr.recent.transactions ivr.disp.completed.call , 0.007,declined ivr.entry , 0.006,agent.view.authorization agent.2 , 0.006,agent.view.payment.history agent.update.bank.profile.success , 0.006,webevent.view.payment.activity ivr.entry , 0.005,agent.exit ivr.exit , 0.005,agent.entry agent.exit , 0.005,ivr.balance.details ivr.disp.completed.call , 0.005,ivr.entry ivr.fraud , 0.004,agent.update.bank.profile.success agent.pay.by.phone.success , 0.004,ivr.exit tsys.fraud.-.watch , 0.004,ivr.proactive.balance ivr.travel.notification , 0.004,alerts.delivered alerts.delivered , 0.003,ivr.travel.notification agent.entry , 0.003,agent.activation.success agent.activation.success , 0.003,ivr.exit webevent.view.make.a.payment , 0.003,tsys.verification.-.card.receipt ivr.proactive.balance , 0.003,tsys.verification.-.cvvs agent.entry , 0.003,tsys.photo.card.indicator tsys.update.mailing.address , 0.002,tsys.financial.adjustment ivr.entry , 0.002,ivr.redeem.rewards ivr.disp.completed.call , 0.002,tsys.update.mailing.address tsys.number.of.cards , 0.002,ivr.exit declined, 0.002
8,webevent.view.make.a.payment webevent.update.bank.profile.success ,0.234,webevent.update.bank.profile.success webevent.view.make.a.payment , 0.216,web.entry mobile.entry , 0.096,webevent.make.a.payment.success web.entry , 0.086,webevent.view.transactions.and.details.success mobile.entry , 0.055,journey.entry web.entry , 0.053,webstc.chat-reactive webstc.view/print/download.monthly.statement , 0.017,mobileevent.answer.security.question.success mblstc.view.services , 0.014,web.exit mobile.exit , 0.014,webevent.make.a.payment.success webstc.change.image.on.card , 0.007,mobileevent.login.with.password.success webevent.login , 0.007,mobileevent.view.account.summary.success web.entry , 0.006,webevent.view.replacement.card.page webevent.view.transactions.and.details.success , 0.006,mobileevent.view.transactions.and.details mblstc.error , 0.006,webevent.update.bank.profile.success web.exit , 0.006,webstc.browse.us.cards webevent.view.transactions.and.details.success , 0.006,mobile.exit webevent.view.transactions.and.details.success , 0.005,tsys.financial.adjustment tsys.credit.limit.change , 0.005,webstc.request.clip.-approved.-accepted webstc.view/print/download.monthly.statement , 0.005,webevent.update.bank.profile.success webevent.view.payment.activity , 0.004,web.exit agent.pay.by.phone.success , 0.004,mobile.entry webevent.login , 0.004,mobileevent.view.account.summary.success web.exit , 0.004,webstc.chat-reject webevent.update.bank.profile.success , 0.004,tsys.account.charged.off web.entry , 0.004,webevent.update.bank.profile.success webevent.view.transactions.and.details.success , 0.003,mobile.exit mobileevent.view.make.a.payment , 0.003,agent.view.authorization webevent.view.make.a.payment , 0.003,mobileevent.view.make.a.payment web.entry , 0.003,mobile.exit webevent.view.make.a.payment , 0.003,mobileevent.login.with.password.success web.exit , 0.003,webstc.help webevent.view.make.a.payment , 0.003,webevent.update.bank.profile.success webevent.login , 0.003,webevent.view.account.summary.success mobile.exit , 0.003,agent.exit webevent.update.bank.profile.success , 0.002,web.exit webevent.view.make.a.payment , 0.002,mobileevent.view.account.summary.success webevent.login , 0.002,tsys.credit.limit.change journey.exit , 0.002,tsys.date.of.birth tsys.card.request , 0.002,reward tsys.account.charged.off , 0.002,webevent.view.transactions.and.details.success mobile.exit , 0.002,agent.exit webstc.activation , 0.002,webstc.view/print/download.monthly.statement webstc.rewards.search , 0.002,web.exit mobileevent.view.transactions.and.details , 0.002,tsys.credit.limit.change web.entry , 0.002,webevent.update.bank.profile.success webevent.update.bank.profile.failure , 0.001,webevent.login agent.view.payment.history , 0.001,web.exit tsys.credit.balance.refund.. , 0.001,webevent.delete.payment.success webevent.delete.bank.profile.success , 0.001,mobileevent.make.a.payment.success web.exit, 0.001
9,webevent.login webevent.view.account.summary.success ,0.277,webevent.view.account.summary.success webevent.login , 0.192,webevent.view.account.summary.success webevent.view.transactions.and.details.success , 0.107,web.entry webevent.login , 0.051,webevent.view.transactions.and.details.success webevent.login , 0.042,webevent.view.transactions.and.details.success webevent.view.make.a.payment , 0.041,journey.entry web.entry , 0.039,web.exit journey.exit , 0.036,webevent.view.make.a.payment webevent.login , 0.034,webevent.view.account.summary.success webevent.view.statements.page , 0.026,webevent.view.statements.page webevent.system.retrieve.default.email.address , 0.016,webevent.login webevent.view.transactions.and.details.success , 0.014,webstc.view.rewards.summary webevent.login , 0.012,webevent.system.retrieve.default.email.address webevent.login , 0.011,webstc.view/redeem.rewards webevent.view.make.a.payment , 0.010,webevent.view.account.summary.success web.exit , 0.008,webevent.view.transactions.and.details.success webevent.view.account.summary.success , 0.007,webevent.view.make.a.payment web.exit , 0.007,webevent.system.retrieve.default.email.address web.exit , 0.006,webevent.view.statements.page webevent.login , 0.006,webstc.dispute webevent.system.retrieve.default.email.address , 0.006,webevent.system.retrieve.default.email.address webstc.dispute , 0.006,webevent.view.make.a.payment webevent.view.account.summary.success , 0.005,webevent.view.statements.page web.exit , 0.004,webevent.login webevent.view.statements.page , 0.004,webevent.request.alerts.test.success webstc.dispute , 0.003,webstc.view.credit.line.increase.page webevent.view.transactions.and.details.success , 0.002,webevent.view.account.summary.success webevent.view.replacement.card.page , 0.002,webevent.view.transactions.and.details.success webstc.error , 0.002,webevent.view.account.summary.success webstc.chat-reject , 0.002,webstc.dispute web.exit , 0.002,web.entry webevent.view.make.a.payment , 0.002,webstc.chat-ignore webevent.login , 0.001,webevent.view.transactions.and.details.success webstc.chat-reject , 0.001,webevent.view.transactions.and.details.success webstc.chat-ignore , 0.001,webevent.view.statement.and.document.delivery.preferences webevent.view.make.a.payment , 0.001,webstc.dispute webevent.login , 0.001,webevent.view.transactions.and.details.success webstc.dispute , 0.001,webstc.chat-reject webevent.view.make.a.payment , 0.001,webevent.view.account.summary.success webstc.online.application , 0.001,webevent.login webevent.system.retrieve.default.email.address , 0.001,webstc.request.clip.-declined webevent.view.make.a.payment , 0.001,webevent.view.transactions.and.details.success webevent.view.replacement.card.page , 0.001,webevent.view.replacement.card.page web.exit , 0.001,webevent.system.retrieve.default.email.address mobile.entry , 0.000,ivr.entry ivr.disp.completed.call , 0.000,webstc.dispute webevent.request.alerts.test.success , 0.000,webevent.view.statements.page mobile.entry , 0.000,webstc.chat-reject webstc.chat-ignore , 0.000,chordiant webevent.request.alerts.test.success, 0.000
