,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,journey.entry agent.entry ,0.167,agent , 0.167,agent.entry agent , 0.167,web.exit web.entry-... , 0.059,web.entry web.exit , 0.059,web.entry-... , 0.059,journey.entry web.entry , 0.059,web.entry webevent.login , 0.005,webe... , 0.005,webevent.login webe... , 0.005,mobile.entry mobileevent.login... , 0.005,journey.entry mobile.entry , 0.005,journey.entry ivr.entry , 0.005,mobileevent.login... , 0.005,ivr.proactive , 0.005,Path , 0.005,ivr.entry ivr.proactive , 0.005,ivr.entry agent.entry , 0.005,webevent.view , 0.005,journey.entry reward , 0.005,web.entry webevent.log... , 0.005,web.entry webevent.view , 0.005,webevent.log... , 0.005,reward web.entry , 0.005,tsys... , 0.005,ivr.activation tsys... , 0.005,ivr.entry ivr.activation , 0.005,agent.view , 0.005,ivr.online , 0.005,web.entry webevent.online , 0.005,ivr.entry ivr.online , 0.005,reward reward , 0.005,agent.entry agent.view , 0.005,ivr.proac... , 0.005,webeven... , 0.005,t... , 0.005,ivr.entry ivr.proac... , 0.005,webevent.online , 0.005,agent.entry web.entry , 0.005,web.ent... , 0.005,web.entry webeven... , 0.005,webstc.activation t... , 0.005,web.entry mobile.entry , 0.005,mobile... , 0.005,web.entry webstc.activation , 0.005,declined ivr.entry , 0.005,declined declined , 0.005,web.entry webstc.faq , 0.005,web.entry ivr.entry , 0.005,mobile.entry mobile..., 0.005
1,journey.entry ivr.entry ,0.241,ivr.entry ivr.proactive , 0.241,ivr.proactive , 0.241,web.entry webeven... , 0.033,webeven... , 0.033,agent.entry web.entry , 0.033,journey.entry agent.entry , 0.033,journey.entry web.entry , 0.003,webe... , 0.003,webevent.login webe... , 0.003,web.entry webevent.login , 0.003,tsys... , 0.003,ivr.entry ivr.activation , 0.003,ivr.activation tsys... , 0.003,mobile.entry mobileevent.login... , 0.003,journey.entry mobile.entry , 0.003,mobileevent.login... , 0.003,Path , 0.003,agent.entry agent , 0.003,agent , 0.003,ivr.entry agent.entry , 0.003,journey.entry reward , 0.003,reward web.entry , 0.003,webevent.log... , 0.003,web.entry webevent.view , 0.003,webevent.view , 0.003,web.entry webevent.log... , 0.003,agent.view , 0.003,ivr.online , 0.003,reward reward , 0.003,web.entry webevent.online , 0.003,webevent.online , 0.003,t... , 0.003,webstc.faq webstc.c... , 0.003,web.entry-... , 0.003,webstc.c... , 0.003,ivr.entry ivr.online , 0.003,agent.entry agent.view , 0.003,mobile... , 0.003,web.entry ivr.entry , 0.003,web.entry webstc.faq , 0.003,ivr.entry ivr.proac... , 0.003,mobile.entry mobile... , 0.003,declined ivr.entry , 0.003,ivr.proac... , 0.003,web.entry webstc.activation , 0.003,journey.entry declined , 0.003,web.entry web.exit , 0.003,webstc.activation t... , 0.003,ivr.entry ..., 0.003
2,journey.entry web.entry ,0.115,mobile.entry mobile... , 0.114,web.entry mobile.entry , 0.114,mobile... , 0.114,mobile.entry mobileevent.login... , 0.011,mobileevent.login... , 0.011,journey.entry mobile.entry , 0.011,journey.entry ivr.entry , 0.010,ivr.proactive , 0.010,ivr.entry ivr.proactive , 0.010,webe... , 0.010,web.entry webevent.login , 0.010,webevent.login webe... , 0.010,Path , 0.010,agent.entry agent , 0.010,journey.entry agent.entry , 0.010,agent , 0.010,ivr.entry agent.entry , 0.010,webevent.log... , 0.010,web.entry webevent.view , 0.010,webevent.view , 0.010,reward web.entry , 0.010,journey.entry reward , 0.010,ivr.entry ivr.activation , 0.010,web.entry webevent.log... , 0.010,ivr.activation tsys... , 0.010,tsys... , 0.010,agent.view , 0.010,web.entry webevent.online , 0.010,ivr.online , 0.010,webevent.online , 0.010,ivr.entry ivr.online , 0.010,reward reward , 0.010,agent.entry web.entry , 0.010,webstc.faq webstc.c... , 0.010,web.entry webeven... , 0.010,ivr.proac... , 0.010,web.exit web.entry-... , 0.010,webeven... , 0.010,webstc.activation t... , 0.010,ivr.entry ivr.proac... , 0.010,webstc.c... , 0.010,web.entry-... , 0.010,t... , 0.010,web.ent... , 0.010,agent.entry agent.view , 0.010,web.entry webstc.faq , 0.010,web.entry webstc.activation , 0.010,declined ivr.entry , 0.010,declined declined, 0.010
3,agent.entry agent.view ,0.066,ivr.entry ivr.online , 0.066,ivr.online , 0.066,agent.view , 0.066,journey.entry agent.entry , 0.066,journey.entry ivr.entry , 0.066,journey.entry declined , 0.066,declined declined , 0.066,ivr.entry ... , 0.066,declined ivr.entry , 0.066,... , 0.066,webe... , 0.006,journey.entry web.entry , 0.006,web.entry webevent.login , 0.006,webevent.login webe... , 0.006,journey.entry mobile.entry , 0.006,mobile.entry mobileevent.login... , 0.006,mobileevent.login... , 0.006,Path , 0.006,agent , 0.006,ivr.entry ivr.proactive , 0.006,agent.entry agent , 0.006,ivr.proactive , 0.006,ivr.entry agent.entry , 0.006,reward web.entry , 0.006,journey.entry reward , 0.006,webevent.view , 0.006,webevent.log... , 0.006,web.entry webevent.view , 0.006,ivr.activation tsys... , 0.006,tsys... , 0.006,ivr.entry ivr.activation , 0.006,web.entry webevent.log... , 0.006,webevent.online , 0.006,web.entry webevent.online , 0.006,webeven... , 0.006,agent.entry web.entry , 0.006,ivr.entry ivr.proac... , 0.006,reward reward , 0.006,web.ent... , 0.006,web.entry webeven... , 0.006,web.entry webstc.faq , 0.006,mobile... , 0.006,webstc.faq webstc.c... , 0.006,web.entry mobile.entry , 0.006,webstc.activation t... , 0.006,ivr.proac... , 0.006,web.entry-... , 0.006,webstc.c... , 0.006,web.entry web.exit, 0.006
4,journey.entry ivr.entry ,0.179,agent , 0.129,agent.entry agent , 0.129,ivr.entry agent.entry , 0.129,ivr.activation tsys... , 0.053,tsys... , 0.053,ivr.entry ivr.activation , 0.053,web.entry webevent.view , 0.053,webevent.view , 0.053,journey.entry web.entry , 0.053,journey.entry agent.entry , 0.003,webevent.login webe... , 0.003,web.entry webevent.login , 0.003,webe... , 0.003,mobile.entry mobileevent.login... , 0.003,journey.entry mobile.entry , 0.003,mobileevent.login... , 0.003,ivr.entry ivr.proactive , 0.003,ivr.proactive , 0.003,Path , 0.003,journey.entry reward , 0.003,web.entry webevent.log... , 0.003,reward web.entry , 0.003,webevent.log... , 0.003,web.entry webevent.online , 0.003,ivr.entry ivr.online , 0.003,agent.entry agent.view , 0.003,agent.view , 0.003,agent.entry web.entry , 0.003,ivr.entry ivr.proac... , 0.003,reward reward , 0.003,webstc.faq webstc.c... , 0.003,web.entry-... , 0.003,webeven... , 0.003,webevent.online , 0.003,webstc.c... , 0.003,ivr.online , 0.003,t... , 0.003,mobile... , 0.003,web.ent... , 0.003,declined declined , 0.003,ivr.proac... , 0.003,web.entry mobile.entry , 0.003,declined ivr.entry , 0.003,reward web.ent... , 0.003,web.entry webstc.activation , 0.003,ivr.entry ... , 0.003,web.entry web.exit , 0.003,mobile.entry mobile... , 0.003,web.entry webeven..., 0.003
5,journey.entry web.entry ,0.187,web.entry ivr.entry , 0.066,web.entry webstc.faq , 0.066,webstc.c... , 0.066,ivr.proac... , 0.066,webstc.faq webstc.c... , 0.066,ivr.entry ivr.proac... , 0.066,webevent.online , 0.066,web.entry webevent.online , 0.066,web.entry webevent.login , 0.006,webevent.login webe... , 0.006,webe... , 0.006,journey.entry ivr.entry , 0.006,ivr.proactive , 0.006,ivr.entry ivr.proactive , 0.006,mobile.entry mobileevent.login... , 0.006,journey.entry mobile.entry , 0.006,mobileevent.login... , 0.006,agent , 0.006,Path , 0.006,journey.entry agent.entry , 0.006,agent.entry agent , 0.006,ivr.entry agent.entry , 0.006,journey.entry reward , 0.006,web.entry webevent.view , 0.006,webevent.view , 0.006,reward web.entry , 0.006,ivr.entry ivr.activation , 0.006,web.entry webevent.log... , 0.006,ivr.activation tsys... , 0.006,webevent.log... , 0.006,tsys... , 0.006,ivr.online , 0.006,agent.view , 0.006,agent.entry web.entry , 0.006,web.entry-... , 0.006,web.ent... , 0.006,t... , 0.006,webeven... , 0.006,ivr.entry ivr.online , 0.006,web.entry webstc.activation , 0.006,reward reward , 0.006,agent.entry agent.view , 0.006,web.entry web.exit , 0.006,web.exit web.entry-... , 0.006,mobile... , 0.006,web.entry webeven... , 0.006,... , 0.006,mobile.entry mobile... , 0.006,journey.entry declined, 0.006
6,journey.entry web.entry ,0.018,web.entry webevent.login , 0.018,webevent.login webe... , 0.018,webe... , 0.018,reward web.entry , 0.018,web.entry webevent.log... , 0.018,webevent.log... , 0.018,journey.entry reward , 0.018,... , 0.018,declined ivr.entry , 0.018,ivr.entry ... , 0.018,declined declined , 0.018,journey.entry declined , 0.018,mobile.entry mobileevent.login... , 0.018,journey.entry mobile.entry , 0.018,Path , 0.018,journey.entry ivr.entry , 0.018,mobileevent.login... , 0.018,agent.entry agent , 0.018,journey.entry agent.entry , 0.018,ivr.proactive , 0.018,agent , 0.018,ivr.entry ivr.proactive , 0.018,ivr.entry agent.entry , 0.018,web.entry webevent.view , 0.018,webevent.view , 0.018,ivr.activation tsys... , 0.018,ivr.entry ivr.activation , 0.018,tsys... , 0.018,agent.entry web.entry , 0.018,t... , 0.018,web.entry webevent.online , 0.018,agent.view , 0.018,ivr.online , 0.018,reward reward , 0.018,agent.entry agent.view , 0.018,ivr.entry ivr.online , 0.018,webeven... , 0.018,webstc.activation t... , 0.018,ivr.entry ivr.proac... , 0.018,webstc.faq webstc.c... , 0.018,web.entry webeven... , 0.018,webevent.online , 0.018,web.entry-... , 0.018,ivr.proac... , 0.018,web.entry webstc.activation , 0.018,web.ent... , 0.018,reward web.ent... , 0.018,web.entry web.exit , 0.018,web.entry ivr.entry, 0.018
7,webevent.login webe... ,0.242,web.entry webevent.login , 0.242,webe... , 0.242,journey.entry web.entry , 0.242,Path , 0.006,journey.entry mobile.entry , 0.001,journey.entry ivr.entry , 0.001,mobileevent.login... , 0.001,agent.entry agent , 0.001,agent , 0.001,ivr.entry agent.entry , 0.001,mobile.entry mobileevent.login... , 0.001,ivr.proactive , 0.001,ivr.entry ivr.proactive , 0.001,journey.entry agent.entry , 0.001,journey.entry reward , 0.001,webevent.view , 0.001,web.entry webevent.log... , 0.001,reward web.entry , 0.001,webevent.log... , 0.001,web.entry webevent.view , 0.001,ivr.activation tsys... , 0.001,ivr.entry ivr.activation , 0.001,agent.view , 0.001,tsys... , 0.001,t... , 0.001,web.entry webevent.online , 0.001,ivr.online , 0.001,reward reward , 0.001,webevent.online , 0.001,ivr.entry ivr.online , 0.001,webstc.faq webstc.c... , 0.001,ivr.entry ivr.proac... , 0.001,mobile... , 0.001,ivr.proac... , 0.001,webstc.c... , 0.001,agent.entry web.entry , 0.001,webeven... , 0.001,... , 0.001,journey.entry declined , 0.001,mobile.entry mobile... , 0.001,declined ivr.entry , 0.001,web.entry ivr.entry , 0.001,web.entry webstc.faq , 0.001,web.entry-... , 0.001,web.ent... , 0.001,web.entry webeven... , 0.001,web.entry web.exit , 0.001,agent.entry agent.view , 0.001,web.entry mobile.entry, 0.001
8,journey.entry reward ,0.154,webevent.log... , 0.117,web.entry webevent.log... , 0.117,reward web.entry , 0.117,reward reward , 0.079,reward web.ent... , 0.041,webstc.activation t... , 0.041,web.entry webstc.activation , 0.041,web.ent... , 0.041,t... , 0.041,journey.entry web.entry , 0.041,mobile.entry mobileevent.login... , 0.004,journey.entry mobile.entry , 0.004,mobileevent.login... , 0.004,journey.entry ivr.entry , 0.004,ivr.entry ivr.proactive , 0.004,ivr.proactive , 0.004,webe... , 0.004,web.entry webevent.login , 0.004,webevent.login webe... , 0.004,agent.entry agent , 0.004,agent , 0.004,Path , 0.004,ivr.entry agent.entry , 0.004,journey.entry agent.entry , 0.004,ivr.activation tsys... , 0.004,webevent.view , 0.004,web.entry webevent.view , 0.004,tsys... , 0.004,ivr.entry ivr.activation , 0.004,ivr.online , 0.004,web.entry webevent.online , 0.004,agent.view , 0.004,web.entry-... , 0.004,agent.entry web.entry , 0.004,ivr.entry ivr.proac... , 0.004,agent.entry agent.view , 0.004,web.entry mobile.entry , 0.004,ivr.entry ivr.online , 0.004,webevent.online , 0.004,web.entry webeven... , 0.004,web.entry web.exit , 0.004,webeven... , 0.004,declined declined , 0.004,webstc.c... , 0.004,web.entry ivr.entry , 0.004,declined ivr.entry , 0.004,webstc.faq webstc.c... , 0.004,web.exit web.entry-... , 0.004,mobile..., 0.004
9,mobileevent.login... ,0.300,journey.entry mobile.entry , 0.300,mobile.entry mobileevent.login... , 0.300,journey.entry web.entry , 0.002,web.entry webevent.login , 0.002,webe... , 0.002,webevent.login webe... , 0.002,web.entry webevent.view , 0.002,webevent.view , 0.002,journey.entry ivr.entry , 0.002,agent.entry agent , 0.002,ivr.proactive , 0.002,ivr.entry ivr.proactive , 0.002,journey.entry agent.entry , 0.002,Path , 0.002,agent , 0.002,ivr.entry agent.entry , 0.002,journey.entry reward , 0.002,reward web.entry , 0.002,webevent.log... , 0.002,ivr.activation tsys... , 0.002,ivr.entry ivr.activation , 0.002,web.entry webevent.log... , 0.002,agent.view , 0.002,ivr.online , 0.002,web.entry webevent.online , 0.002,tsys... , 0.002,webevent.online , 0.002,ivr.entry ivr.proac... , 0.002,web.entry-... , 0.002,ivr.entry ivr.online , 0.002,agent.entry web.entry , 0.002,agent.entry agent.view , 0.002,t... , 0.002,web.entry web.exit , 0.002,web.entry webeven... , 0.002,web.entry webstc.activation , 0.002,web.entry webstc.faq , 0.002,reward reward , 0.002,webeven... , 0.002,journey.entry declined , 0.002,ivr.proac... , 0.002,web.ent... , 0.002,declined declined , 0.002,mobile.entry mobile... , 0.002,web.entry ivr.entry , 0.002,web.entry mobile.entry , 0.002,webstc.activation t... , 0.002,webstc.c... , 0.002,ivr.entry ..., 0.002
